Name,Category,Price,Quality
QuestLegends,RPG,14874,31
GalaxyDragon,Deportes,57341,50
DragonQuest,Simulación,31138,49
EmpireEmpire,Simulación,14053,6
WarriorDragon,Deportes,69202,37
LegendsLegends,Simulación,43528,16
DragonGalaxy,Simulación,47258,93
LegendsLegends,Acción,32485,12
EmpireEmpire,Acción,52569,66
EmpireEmpire,Deportes,65175,78
GalaxyWarrior,Aventura,11591,50
EmpireWarrior,Estrategia,29739,1
DragonLegends,Simulación,60904,2
WarriorEmpire,Estrategia,8728,41
QuestDragon,Acción,29814,94
EmpireEmpire,Aventura,33105,68
QuestQuest,Aventura,18735,59
LegendsWarrior,Estrategia,50631,32
LegendsEmpire,Deportes,56637,22
GalaxyLegends,Acción,35651,41
EmpireQuest,Acción,34057,63
DragonGalaxy,Deportes,33096,92
EmpireEmpire,Estrategia,8174,55
GalaxyEmpire,RPG,1341,69
GalaxyWarrior,Deportes,18986,99
QuestGalaxy,RPG,27060,41
DragonQuest,RPG,34280,36
GalaxyEmpire,Aventura,34136,95
GalaxyQuest,Aventura,9145,47
WarriorEmpire,RPG,17888,51
QuestGalaxy,Deportes,56034,59
GalaxyLegends,Simulación,58373,33
WarriorDragon,Deportes,38758,52
QuestDragon,Deportes,27834,6
EmpireEmpire,Simulación,37803,94
EmpireGalaxy,Estrategia,52501,92
WarriorWarrior,Deportes,18591,66
DragonLegends,Deportes,3607,18
WarriorEmpire,Simulación,16832,86
GalaxyWarrior,Estrategia,44017,62
EmpireLegends,Estrategia,32803,79
DragonLegends,Deportes,22004,75
WarriorWarrior,Aventura,50225,20
GalaxyEmpire,Estrategia,59320,36
LegendsDragon,RPG,16865,27
LegendsLegends,RPG,2032,41
EmpireQuest,Aventura,38029,13
DragonLegends,Deportes,18268,37
DragonWarrior,RPG,8216,59
LegendsEmpire,Aventura,69563,95
WarriorQuest,Aventura,1339,63
DragonQuest,Aventura,8137,69
QuestWarrior,Aventura,62436,57
EmpireQuest,RPG,11255,56
EmpireGalaxy,Aventura,14181,57
QuestDragon,RPG,24169,54
GalaxyWarrior,RPG,32941,7
EmpireGalaxy,RPG,67644,84
WarriorLegends,Aventura,22742,96
DragonDragon,Estrategia,33994,9
QuestDragon,Acción,36463,68
WarriorEmpire,Simulación,10108,81
LegendsLegends,Deportes,32985,48
DragonDragon,Deportes,50256,61
WarriorGalaxy,Estrategia,20552,62
GalaxyWarrior,Aventura,18334,3
EmpireWarrior,Aventura,66521,66
GalaxyDragon,Acción,49815,64
GalaxyWarrior,Estrategia,53160,12
LegendsLegends,Simulación,59124,54
WarriorQuest,Deportes,44381,88
GalaxyEmpire,Aventura,22156,21
EmpireQuest,Aventura,62002,5
LegendsDragon,Aventura,5203,36
LegendsDragon,Aventura,594,79
WarriorQuest,Estrategia,50507,88
EmpireQuest,Acción,28542,40
EmpireGalaxy,Estrategia,46990,51
EmpireWarrior,Aventura,11874,50
EmpireEmpire,RPG,24324,49
LegendsWarrior,Aventura,59090,82
WarriorGalaxy,Estrategia,35669,95
DragonDragon,Aventura,67982,32
QuestLegends,RPG,32066,81
GalaxyDragon,Deportes,42494,23
WarriorQuest,Estrategia,36945,87
LegendsLegends,Deportes,53813,35
DragonWarrior,Simulación,21325,52
GalaxyGalaxy,Deportes,62365,71
QuestEmpire,Acción,51150,61
GalaxyEmpire,Estrategia,53699,74
EmpireLegends,Aventura,22478,95
QuestLegends,RPG,11234,60
QuestQuest,Acción,38095,63
GalaxyDragon,Acción,42269,67
EmpireWarrior,Deportes,32991,52
EmpireEmpire,Estrategia,24299,39
EmpireQuest,Simulación,54528,59
WarriorDragon,RPG,51842,66
EmpireLegends,Simulación,24272,52
DragonDragon,RPG,67330,68
DragonLegends,Deportes,37748,34
DragonQuest,Deportes,67107,44
GalaxyEmpire,Acción,10777,84
EmpireGalaxy,Estrategia,3505,19
GalaxyDragon,Acción,35837,9
DragonDragon,Simulación,34053,56
WarriorQuest,RPG,55887,85
GalaxyWarrior,RPG,21468,50
QuestEmpire,Estrategia,22297,84
WarriorLegends,Simulación,24911,90
EmpireGalaxy,Acción,8943,11
GalaxyDragon,Aventura,65170,83
QuestLegends,Aventura,10466,4
WarriorQuest,Simulación,10999,17
GalaxyLegends,Estrategia,46234,5
LegendsWarrior,Aventura,26699,88
DragonWarrior,Acción,65964,2
DragonLegends,RPG,46047,60
LegendsEmpire,Aventura,915,0
EmpireQuest,Deportes,43987,59
LegendsQuest,Aventura,33837,30
LegendsEmpire,Simulación,39859,42
QuestEmpire,Aventura,47647,47
DragonLegends,Acción,21058,81
EmpireEmpire,Simulación,24784,1
QuestLegends,Deportes,12191,1
EmpireGalaxy,Estrategia,20754,93
LegendsQuest,Acción,8253,66
GalaxyLegends,Deportes,66513,0
DragonGalaxy,RPG,64791,89
DragonGalaxy,Acción,25970,26
DragonGalaxy,Deportes,25540,73
WarriorDragon,Simulación,40555,38
GalaxyEmpire,RPG,31371,6
LegendsWarrior,Deportes,68894,34
DragonGalaxy,Aventura,32867,23
WarriorWarrior,Estrategia,14770,85
EmpireEmpire,Estrategia,15094,21
EmpireWarrior,Simulación,12981,48
WarriorLegends,Aventura,65918,56
DragonEmpire,Acción,60368,78
EmpireGalaxy,Deportes,13058,59
DragonEmpire,Deportes,14765,37
EmpireWarrior,RPG,42478,29
GalaxyLegends,Simulación,31133,10
QuestWarrior,Estrategia,40197,78
LegendsEmpire,Simulación,20522,81
QuestLegends,Simulación,31820,20
LegendsGalaxy,Estrategia,35295,62
WarriorQuest,Simulación,38221,71
LegendsEmpire,Acción,17540,36
DragonDragon,Aventura,66150,95
QuestDragon,RPG,47194,30
LegendsQuest,Estrategia,30866,11
LegendsLegends,Acción,1200,84
QuestGalaxy,Deportes,32311,9
QuestLegends,Simulación,16762,36
QuestQuest,Aventura,63264,0
GalaxyEmpire,Aventura,38691,64
EmpireGalaxy,Acción,64435,78
GalaxyLegends,Deportes,50188,47
DragonWarrior,Simulación,27368,3
QuestQuest,Simulación,3768,27
DragonGalaxy,Estrategia,65908,28
GalaxyEmpire,Aventura,25167,76
LegendsEmpire,Deportes,28483,75
WarriorLegends,RPG,7003,46
DragonLegends,Estrategia,55423,76
LegendsDragon,Deportes,59766,44
QuestLegends,Estrategia,69748,50
DragonLegends,Estrategia,20178,49
QuestWarrior,Deportes,6619,61
GalaxyEmpire,Estrategia,60787,80
WarriorDragon,Estrategia,1752,19
GalaxyLegends,Estrategia,55077,58
LegendsLegends,Aventura,20895,63
WarriorGalaxy,Acción,11992,86
WarriorEmpire,Aventura,37170,59
WarriorLegends,Aventura,35211,83
EmpireGalaxy,Acción,66946,57
EmpireWarrior,Aventura,64523,40
DragonGalaxy,Estrategia,1614,43
WarriorGalaxy,Simulación,46010,76
LegendsWarrior,Estrategia,42175,72
DragonQuest,RPG,65766,50
GalaxyWarrior,Estrategia,1289,86
EmpireWarrior,RPG,50748,62
DragonLegends,Acción,26534,38
WarriorQuest,RPG,60191,51
DragonLegends,RPG,29073,37
QuestQuest,Estrategia,19315,60
WarriorEmpire,Acción,49158,59
EmpireDragon,Aventura,43966,28
WarriorEmpire,Deportes,1124,8
WarriorLegends,Estrategia,19454,30
GalaxyEmpire,Acción,35030,20
WarriorGalaxy,Acción,43540,70
QuestDragon,RPG,33081,55
DragonDragon,Estrategia,61924,23
EmpireDragon,Simulación,23022,54
QuestDragon,Deportes,26509,45
WarriorDragon,Acción,1814,32
LegendsGalaxy,Estrategia,56415,61
LegendsWarrior,Deportes,24469,9
WarriorLegends,Aventura,46812,93
LegendsEmpire,RPG,36213,49
EmpireDragon,Aventura,62007,3
EmpireGalaxy,Aventura,4700,42
WarriorQuest,Aventura,47246,98
LegendsWarrior,Acción,29805,81
QuestGalaxy,Simulación,6521,43
EmpireGalaxy,Acción,24821,82
EmpireGalaxy,Estrategia,1059,37
QuestWarrior,Acción,33153,22
LegendsEmpire,Aventura,827,37
QuestDragon,Estrategia,43144,52
GalaxyWarrior,Simulación,60588,94
WarriorDragon,RPG,59414,47
WarriorLegends,Acción,38277,0
DragonWarrior,Estrategia,44720,72
DragonLegends,Estrategia,63509,15
QuestDragon,Deportes,50544,92
QuestLegends,Simulación,53866,27
QuestGalaxy,Acción,29754,98
EmpireGalaxy,RPG,49700,20
QuestDragon,RPG,59512,37
GalaxyGalaxy,Simulación,22464,2
EmpireQuest,Aventura,32607,63
GalaxyEmpire,Simulación,66810,58
DragonGalaxy,Simulación,52451,0
LegendsQuest,Acción,36052,42
QuestLegends,Acción,26365,19
EmpireWarrior,RPG,58488,99
WarriorWarrior,RPG,3154,95
EmpireQuest,Acción,23271,37
LegendsEmpire,Deportes,47186,67
EmpireGalaxy,Acción,58631,54
GalaxyDragon,RPG,228,26
WarriorWarrior,RPG,27274,13
QuestWarrior,Simulación,18969,26
GalaxyWarrior,Acción,5523,64
EmpireLegends,Deportes,31948,63
WarriorQuest,RPG,20199,55
LegendsQuest,Estrategia,49202,99
WarriorLegends,RPG,6791,15
LegendsWarrior,Acción,63181,69
GalaxyDragon,Acción,17123,2
LegendsWarrior,Simulación,19249,24
QuestQuest,Acción,22521,16
QuestLegends,Aventura,17165,86
DragonLegends,Estrategia,38841,63
QuestGalaxy,RPG,52505,23
LegendsQuest,Estrategia,28859,78
WarriorDragon,Deportes,48975,9
DragonWarrior,Acción,22438,38
GalaxyWarrior,Aventura,10682,91
WarriorWarrior,Estrategia,48952,67
QuestDragon,Aventura,34304,7
QuestWarrior,Aventura,55886,61
EmpireQuest,Deportes,16128,23
EmpireGalaxy,RPG,58856,21
WarriorQuest,Deportes,18438,56
QuestWarrior,Deportes,54326,93
WarriorLegends,Aventura,40252,72
WarriorQuest,RPG,54866,30
DragonEmpire,Simulación,44291,32
GalaxyDragon,Estrategia,56768,11
QuestGalaxy,Estrategia,1164,14
GalaxyLegends,Simulación,28572,20
GalaxyDragon,RPG,20229,25
GalaxyGalaxy,Simulación,58722,76
DragonDragon,Estrategia,7821,44
QuestLegends,Estrategia,1614,68
LegendsWarrior,Estrategia,28481,61
GalaxyEmpire,Aventura,24592,66
EmpireDragon,Estrategia,44723,5
GalaxyLegends,Simulación,61501,95
GalaxyEmpire,Simulación,59860,69
EmpireGalaxy,Simulación,37658,63
DragonDragon,Simulación,54618,93
GalaxyLegends,Deportes,14956,0
GalaxyDragon,Estrategia,3512,89
QuestDragon,Deportes,4652,85
LegendsWarrior,RPG,21092,94
EmpireQuest,Acción,4048,84
EmpireWarrior,Acción,48717,20
WarriorLegends,Deportes,34229,42
LegendsGalaxy,Acción,34443,75
WarriorEmpire,RPG,19398,8
GalaxyQuest,RPG,63929,64
EmpireEmpire,Estrategia,44109,58
WarriorWarrior,RPG,23486,4
LegendsQuest,Deportes,7708,24
GalaxyQuest,Acción,6246,59
WarriorDragon,Aventura,2342,30
LegendsLegends,Acción,53361,17
DragonGalaxy,RPG,6121,54
LegendsQuest,Aventura,19838,50
QuestLegends,Acción,34549,26
DragonLegends,Estrategia,18524,54
GalaxyGalaxy,Simulación,12588,78
GalaxyQuest,Acción,57871,50
QuestWarrior,Estrategia,55343,76
QuestQuest,Aventura,14762,66
WarriorLegends,Estrategia,34075,59
QuestEmpire,Deportes,11210,5
DragonGalaxy,RPG,61465,29
EmpireLegends,Deportes,47642,14
EmpireQuest,Aventura,66613,54
QuestDragon,RPG,6166,21
LegendsDragon,Aventura,32372,11
WarriorDragon,Estrategia,66938,82
EmpireQuest,Aventura,49393,58
QuestQuest,Deportes,46823,39
QuestLegends,Aventura,23461,93
GalaxyLegends,Simulación,10957,84
WarriorDragon,Aventura,39473,27
GalaxyGalaxy,RPG,22378,29
QuestQuest,Acción,36253,45
EmpireGalaxy,Simulación,65948,37
EmpireGalaxy,Acción,11730,98
WarriorWarrior,RPG,21793,56
LegendsEmpire,Estrategia,60673,98
LegendsDragon,Aventura,8624,41
GalaxyDragon,Simulación,58635,16
GalaxyDragon,RPG,62847,79
DragonLegends,RPG,29200,55
WarriorGalaxy,Aventura,5292,90
DragonWarrior,Acción,17678,16
LegendsGalaxy,Simulación,36940,17
GalaxyEmpire,Simulación,59785,22
QuestEmpire,Simulación,29106,68
QuestLegends,Acción,11213,97
QuestDragon,Estrategia,3857,54
LegendsLegends,Acción,39970,94
WarriorLegends,Deportes,46762,62
LegendsQuest,Deportes,38146,90
EmpireLegends,Deportes,62337,50
QuestWarrior,Simulación,17400,38
WarriorGalaxy,Simulación,40197,48
QuestDragon,Simulación,62759,49
LegendsEmpire,Estrategia,58370,52
DragonQuest,Estrategia,27756,38
DragonWarrior,Deportes,68087,32
EmpireWarrior,Simulación,46324,77
DragonEmpire,RPG,29107,42
DragonQuest,Simulación,26097,30
DragonEmpire,Acción,16730,45
EmpireQuest,RPG,5574,82
